"STATION","NAME","DATE","PRCP"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-01","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-02","0.10"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-03","1.24"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-04","0.47"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-05","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-06","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-07","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-08","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-09","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-10","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-11","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-12","0.34"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-13","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-14","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-15","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-16","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-17","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-18","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-19","0.01"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-20","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-21","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-22","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-23","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-24","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-25","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-26","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-27","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-28","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-29","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-30","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-01-31","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-02-01","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-02-02","0.09"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-02-03","0.02"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-02-04","0.01"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-02-05","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-02-06","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-02-07","0.29"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-02-08","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-02-09","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-02-10","0.24"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-02-11","0.17"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-02-12","0.24"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-02-13","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-02-14","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-02-15","0.00"
"US1TXDA0065","GARLAND 3.6 NNW, TX US","2019-02-16","0.00"
