STATION,NAME,DATE,PRCP
US1TXHRR116,"KATY 1.0 NNE, TX US",5/10/2019,1.56
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/1/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/2/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/3/2019,2.36
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/4/2019,0.21
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/5/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/6/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/7/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/8/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/9/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/10/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/11/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/12/2019,0.56
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/13/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/14/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/15/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/16/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/17/2019,0.08
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/18/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/19/2019,0.43
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/20/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/21/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/22/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/23/2019,1.16
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/24/2019,0.16
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/25/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/26/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/27/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/28/2019,0
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/29/2019,0.12
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",1/30/2019,0
