"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"37003","Alexander County, NC","300","280","20",".",".",".",".","90","48.5","37",".",".","245",".","55"
"37011","Avery County, NC","321","297","24",".",".",".",".","77","48","38",".",".","282","39","."
"37021","Buncombe County, NC","365","291","74",".",".",".",".","74","54","38",".",".","143","222","."
"37027","Caldwell County, NC","245","224","21",".",".",".",".","74","50","40",".",".","245",".","."
"37031","Carteret County, NC","359","346","13",".",".",".",".","77","46","35",".",".","359",".","."
"37033","Caswell County, NC","264","253","11",".",".",".",".","64","48","39",".",".","245",".","19"
"37035","Catawba County, NC","355","234","121",".",".",".",".","81","59","44",".",".",".","355","."
"37051","Cumberland County, NC","360","231","128","1",".",".",".","115","60.5","45",".",".","132","218","10"
"37057","Davidson County, NC","354","196","158",".",".",".",".","86","61","47",".",".",".","354","."
"37063","Durham County, NC","365","210","155",".",".",".",".","96","60","47",".",".","85","280","."
"37065","Edgecombe County, NC","356","312","44",".",".",".",".","93","52","37",".",".","169","187","."
"37067","Forsyth County, NC","365","209","155","1",".",".",".","137","61","48",".",".","124","241","."
"37075","Graham County, NC","244","200","41","3",".",".",".","112","61","43",".",".","244",".","."
"37077","Granville County, NC","244","223","20","1",".",".",".","112","50","42",".",".","244",".","."
"37081","Guilford County, NC","365","223","142",".",".",".",".","84","59","46",".",".","118","236","11"
"37087","Haywood County, NC","280","234","45","1",".",".",".","108","58","43",".",".","241","39","."
"37095","Hyde County, NC","115","112","3",".",".",".",".","61","39","21",".",".",".","115","."
"37101","Johnston County, NC","365","271","93","1",".",".",".","140","55","42",".",".","118","247","."
"37107","Lenoir County, NC","241","217","23","1",".",".",".","108","50","39",".",".","241",".","."
"37109","Lincoln County, NC","243","202","40","1",".",".",".","108","58","43",".",".","243",".","."
"37113","Macon County, NC","360","349","11",".",".",".",".","97","45","31",".",".","360",".","."
"37117","Martin County, NC","289","282","7",".",".",".",".","80","44","34",".",".","244",".","45"
"37119","Mecklenburg County, NC","365","190","173","2",".",".",".","119","67","50",".",".","134","231","."
"37121","Mitchell County, NC","346","298","48",".",".",".",".","69","53","31",".",".",".","346","."
"37123","Montgomery County, NC","363","263","100",".",".",".",".","80","58","43",".",".","163","200","."
"37129","New Hanover County, NC","361","268","93",".",".",".",".","80","55","42",".",".","89","272","."
"37131","Northampton County, NC","362","284","78",".",".",".",".","71","55","33",".","5",".","357","."
"37145","Person County, NC","243","229","14",".",".",".",".","90","49","40",".",".","243",".","."
"37147","Pitt County, NC","365","305","60",".",".",".",".","97","52","37",".",".","140","225","."
"37157","Rockingham County, NC","239","219","20",".",".",".",".","80","50","41",".",".","239",".","."
"37159","Rowan County, NC","364","230","134",".",".",".",".","87","59","46",".",".","174","190","."
"37173","Swain County, NC","365","275","90",".",".",".",".","89","57","43",".",".","96","269","."
"37179","Union County, NC","244","218","26",".",".",".",".","100","51","41",".",".","244",".","."
"37183","Wake County, NC","365","228","136","1",".",".",".","122","59","46",".",".","139","226","."
"37199","Yancey County, NC","242","200","42",".",".",".",".","93","61","44",".",".","242",".","."
